"Category","City","Country","Customer Name","Manufacturer","Order Date","Order ID","Postal Code","Product Name","Region","Segment","Ship Date","Ship Mode","State","Sub-Category","Discount","Number of Records","Profit","Profit Ratio","Quantity","Sales","Column22","Profit_Amount","Formatted_Order_Date","Sales_Amount","Profit_Amount:1","Formatted_Order_Date:1"
Office Supplies,Henderson,United States,Maria Etezadi,Alliance,"1/7/11",CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,"1/11/11",Standard Class,Kentucky,Fasteners,"0%",1,US$0 ,"1%",4,US$31 ,"",0,"2011-07-01",31,0,"2011-07-01"
Office Supplies,Henderson,United States,Maria Etezadi,Southworth,"1/7/11",CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,"1/11/11",Standard Class,Kentucky,Paper,"0%",1,US$3 ,"46%",1,US$7 ,"",3,"2011-07-01",7,3,"2011-07-01"
Technology,Henderson,United States,Maria Etezadi,GE,"1/7/11",CA-2011-167199,42420,GE 30524EE4,South,Home Office,"1/11/11",Standard Class,Kentucky,Phones,"0%",1,US$114 ,"29%",2,US$392 ,"",114,"2011-07-01",392,114,"2011-07-01"
Technology,Henderson,United States,Maria Etezadi,Other,"1/7/11",CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,"1/11/11",Standard Class,Kentucky,Phones,"0%",1,US$204 ,"27%",4,US$756 ,"",204,"2011-07-01",756,204,"2011-07-01"
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,"1/8/11",CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,"1/13/11",Standard Class,Texas,Furnishings,"60%",1,(US$54),-70%,3,US$77 ,"",-54,"2011-08-01",77,-54,"2011-08-01"
Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,"1/8/11",CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,"1/13/11",Standard Class,Texas,Binders,"80%",1,(US$18),-175%,7,US$10 ,"",-18,"2011-08-01",10,-18,"2011-08-01"
Office Supplies,Laredo,United States,Melanie Seite,Newell,"1/10/11",CA-2011-135405,78041,Newell 312,Central,Consumer,"1/14/11",Standard Class,Texas,Art,"20%",1,US$1 ,"13%",2,US$9 ,"",1,"2011-10-01",9,1,"2011-10-01"
Technology,Laredo,United States,Melanie Seite,Memorex,"1/10/11",CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,"1/14/11",Standard Class,Texas,Accessories,"20%",1,US$10 ,"31%",3,US$31 ,"",10,"2011-10-01",31,10,"2011-10-01"
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,"1/11/11",CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,"1/16/11",Standard Class,Virginia,Furnishings,"0%",1,US$21 ,"41%",1,US$52 ,"",21,"2011-11-01",52,21,"2011-11-01"
Office Supplies,Springfield,United States,Anthony Jacobs,Avery,"1/11/11",CA-2011-149020,22153,Avery 482,South,Corporate,"1/16/11",Standard Class,Virginia,Labels,"0%",1,US$1 ,"47%",1,US$3 ,"",1,"2011-11-01",3,1,"2011-11-01"
Furniture,Dover,United States,Seth Vernon,DAX,"1/12/11",CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,"1/15/11",First Class,Delaware,Furnishings,"0%",1,US$3 ,"31%",2,US$10 ,"",3,"2011-12-01",10,3,"2011-12-01"
Office Supplies,Bossier City,United States,Chris Selesnick,Other,"1/14/11",CA-2011-162775,71111,Staples,South,Corporate,"1/16/11",Second Class,Louisiana,Binders,"0%",1,US$3 ,"48%",3,US$6 ,"",3,"2011-14-01",6,3,"2011-14-01"
Office Supplies,Bossier City,United States,Chris Selesnick,Other,"1/14/11",CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,"1/16/11",Second Class,Louisiana,Envelopes,"0%",1,US$25 ,"50%",3,US$51 ,"",25,"2011-14-01",51,25,"2011-14-01"
Office Supplies,Bossier City,United States,Chris Selesnick,Other,"1/14/11",CA-2011-162775,71111,Staples,South,Corporate,"1/16/11",Second Class,Louisiana,Envelopes,"0%",1,US$5 ,"47%",2,US$11 ,"",5,"2011-14-01",11,5,"2011-14-01"
Office Supplies,Bossier City,United States,Chris Selesnick,Fellowes,"1/14/11",CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,"1/16/11",Second Class,Louisiana,Storage,"0%",1,US$34 ,"6%",6,US$573 ,"",34,"2011-14-01",573,34,"2011-14-01"
Technology,Bossier City,United States,Chris Selesnick,Plantronics,"1/14/11",CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,"1/16/11",Second Class,Louisiana,Accessories,"0%",1,US$259 ,"40%",6,US$647 ,"",259,"2011-14-01",647,259,"2011-14-01"
Furniture,Mount Pleasant,United States,Natalie DeCherney,Global,"1/14/11",CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,"1/17/11",Second Class,South Carolina,Chairs,"0%",1,US$87 ,"16%",6,US$546 ,"",87,"2011-14-01",546,87,"2011-14-01"
Furniture,San Francisco,United States,Brian Dahlen,O'Sullivan,"1/14/11",CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,"1/19/11",Standard Class,California,Bookcases,"15%",1,US$4 ,"1%",3,US$334 ,"",4,"2011-14-01",334,4,"2011-14-01"
Office Supplies,Newark,United States,Michael Moore,Avery,"1/14/11",CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,"1/19/11",Standard Class,Ohio,Binders,"70%",1,(US$3),-73%,2,US$3 ,"",-3,"2011-14-01",3,-3,"2011-14-01"
Office Supplies,Newark,United States,Michael Moore,Xerox,"1/14/11",CA-2011-118192,43055,Xerox 1923,East,Consumer,"1/19/11",Standard Class,Ohio,Paper,"20%",1,US$13 ,"35%",7,US$37 ,"",13,"2011-14-01",37,13,"2011-14-01"
Office Supplies,San Francisco,United States,Brian Dahlen,Other,"1/14/11",CA-2011-157147,94109,"4009 Highlighters by Sanford",West,Consumer,"1/19/11",Standard Class,California,Art,"0%",1,US$7 ,"33%",5,US$20 ,"",7,"2011-14-01",20,7,"2011-14-01"
Office Supplies,San Francisco,United States,Brian Dahlen,Tennsco,"1/14/11",CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,"1/19/11",Standard Class,California,Storage,"0%",1,US$239 ,"18%",5,"US$1,326 ","",239,"2011-14-01",1,239,"2011-14-01"
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,"1/15/11",CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,"1/16/11",First Class,Pennsylvania,Bookcases,"50%",1,(US$53),-86%,4,US$62 ,"",-53,"2011-15-01",62,-53,"2011-15-01"
Technology,Roswell,United States,Erica Hackney,Logitech,"1/16/11",CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,"1/18/11",First Class,Georgia,Accessories,"0%",1,US$66 ,"44%",5,US$150 ,"",66,"2011-16-01",150,66,"2011-16-01"
Furniture,Philadelphia,United States,Delfina Latchford,DAX,"1/17/11",CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,"1/19/11",Second Class,Pennsylvania,Furnishings,"20%",1,US$29 ,"23%",6,US$127 ,"",29,"2011-17-01",127,29,"2011-17-01"
Office Supplies,Philadelphia,United States,Delfina Latchford,GBC,"1/17/11",CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,"1/19/11",Second Class,Pennsylvania,Binders,"70%",1,(US$14),-73%,2,US$19 ,"",-14,"2011-17-01",19,-14,"2011-17-01"
Office Supplies,Philadelphia,United States,Delfina Latchford,Other,"1/17/11",CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,"1/19/11",Second Class,Pennsylvania,Labels,"20%",1,US$10 ,"34%",3,US$30 ,"",10,"2011-17-01",30,10,"2011-17-01"
Technology,Philadelphia,United States,Delfina Latchford,AT&T,"1/17/11",CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,"1/19/11",Second Class,Pennsylvania,Phones,"40%",1,(US$31),-25%,3,US$124 ,"",-31,"2011-17-01",124,-31,"2011-17-01"
Office Supplies,Springfield,United States,David Wiener,Fellowes,"1/19/11",CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,"1/22/11",Second Class,Oregon,Appliances,"20%",1,US$6 ,"10%",4,US$65 ,"",6,"2011-19-01",65,6,"2011-19-01"
Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,"1/20/11",CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,"1/21/11",First Class,Arizona,Bookcases,"70%",1,(US$321),-177%,5,US$181 ,"",-321,"2011-20-01",181,-321,"2011-20-01"
Office Supplies,Scottsdale,United States,Toby Swindell,GBC,"1/20/11",CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,"1/21/11",First Class,Arizona,Binders,"70%",1,(US$24),-73%,10,US$32 ,"",-24,"2011-20-01",32,-24,"2011-20-01"
Office Supplies,Scottsdale,United States,Toby Swindell,Tyvek,"1/20/11",CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,"1/21/11",First Class,Arizona,Envelopes,"20%",1,US$37 ,"34%",5,US$109 ,"",37,"2011-20-01",109,37,"2011-20-01"
Office Supplies,Scottsdale,United States,Toby Swindell,TOPS,"1/20/11",CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,"1/21/11",First Class,Arizona,Paper,"20%",1,US$20 ,"35%",4,US$56 ,"",20,"2011-20-01",56,20,"2011-20-01"
Furniture,Los Angeles,United States,Mark Van Huff,Eldon,"1/21/11",CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,"1/26/11",Standard Class,California,Furnishings,"0%",1,US$6 ,"30%",2,US$19 ,"",6,"2011-21-01",19,6,"2011-21-01"
Office Supplies,Los Angeles,United States,Mark Van Huff,Wirebound,"1/21/11",CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,"1/26/11",Standard Class,California,Paper,"0%",1,US$9 ,"48%",2,US$19 ,"",9,"2011-21-01",19,9,"2011-21-01"
Furniture,Westland,United States,Xylona Preis,Eldon,"1/21/11",CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,"1/27/11",Standard Class,Michigan,Furnishings,"0%",1,US$30 ,"11%",3,US$273 ,"",30,"2011-21-01",273,30,"2011-21-01"
Furniture,Westland,United States,Xylona Preis,Ultra,"1/21/11",CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,"1/27/11",Standard Class,Michigan,Furnishings,"0%",1,US$5 ,"33%",3,US$15 ,"",5,"2011-21-01",15,5,"2011-21-01"
Furniture,Jonesboro,United States,Hunter Lopez,Hon,"1/21/11",US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,"1/27/11",Standard Class,Arkansas,Chairs,"0%",1,US$224 ,"21%",3,"US$1,068 ","",224,"2011-21-01",1,224,"2011-21-01"
Furniture,Jonesboro,United States,Hunter Lopez,Eldon,"1/21/11",US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,"1/27/11",Standard Class,Arkansas,Furnishings,"0%",1,US$12 ,"30%",4,US$39 ,"",12,"2011-21-01",39,12,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Holmes,"1/21/11",CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,"1/27/11",Standard Class,Michigan,Appliances,"10%",1,US$94 ,"38%",4,US$248 ,"",94,"2011-21-01",248,94,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Panasonic,"1/21/11",CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,"1/27/11",Standard Class,Michigan,Art,"0%",1,US$13 ,"29%",3,US$44 ,"",13,"2011-21-01",44,13,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Acco,"1/21/11",CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,"1/27/11",Standard Class,Michigan,Binders,"0%",1,US$9 ,"47%",5,US$19 ,"",9,"2011-21-01",19,9,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Storex,"1/21/11",CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,"1/27/11",Standard Class,Michigan,Binders,"0%",1,US$13 ,"45%",5,US$30 ,"",13,"2011-21-01",30,13,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Eldon,"1/21/11",CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,"1/27/11",Standard Class,Michigan,Storage,"0%",1,US$4 ,"29%",1,US$14 ,"",4,"2011-21-01",14,4,"2011-21-01"
Office Supplies,Westland,United States,Xylona Preis,Fellowes,"1/21/11",CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,"1/27/11",Standard Class,Michigan,Storage,"0%",1,US$16 ,"24%",2,US$67 ,"",16,"2011-21-01",67,16,"2011-21-01"
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,"1/21/11",US-2011-147627,72401,Newell 327,South,Consumer,"1/27/11",Standard Class,Arkansas,Art,"0%",1,US$2 ,"27%",3,US$7 ,"",2,"2011-21-01",7,2,"2011-21-01"
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,"1/21/11",US-2011-147627,72401,Newell 351,South,Consumer,"1/27/11",Standard Class,Arkansas,Art,"0%",1,US$7 ,"29%",7,US$23 ,"",7,"2011-21-01",23,7,"2011-21-01"
Office Supplies,Jonesboro,United States,Hunter Lopez,Other,"1/21/11",US-2011-147627,72401,Staples,South,Consumer,"1/27/11",Standard Class,Arkansas,Envelopes,"0%",1,US$11 ,"47%",3,US$23 ,"",11,"2011-21-01",23,11,"2011-21-01"
Office Supplies,Smyrna,United States,Muhammed MacIntyre,GBC,"1/21/11",US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,"1/27/11",Standard Class,Tennessee,Binders,"70%",1,(US$52),-77%,1,US$67 ,"",-52,"2011-21-01",67,-52,"2011-21-01"
Technology,Jonesboro,United States,Hunter Lopez,Apple,"1/21/11",US-2011-147627,72401,Apple iPhone 5C,South,Consumer,"1/27/11",Standard Class,Arkansas,Phones,"0%",1,US$182 ,"26%",7,US$700 ,"",182,"2011-21-01",700,182,"2011-21-01"
Furniture,Miami,United States,Tom Boeckenhauer,Ultra,"1/22/11",CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,"1/24/11",Second Class,Florida,Furnishings,"20%",1,US$4 ,"16%",3,US$25 ,"",4,"2011-22-01",25,4,"2011-22-01"
Office Supplies,Lafayette,United States,Speros Goranitis,Alliance,"1/24/11",CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,"1/28/11",Standard Class,Indiana,Fasteners,"0%",1,US$0 ,"0%",3,US$6 ,"",0,"2011-24-01",6,0,"2011-24-01"
Office Supplies,Las Vegas,United States,Ionia McGrath,Xerox,"1/24/11",CA-2011-102645,89115,Xerox 195,West,Consumer,"1/29/11",Standard Class,Nevada,Paper,"0%",1,US$19 ,"48%",6,US$40 ,"",19,"2011-24-01",40,19,"2011-24-01"
Furniture,Rapid City,United States,Carol Adams,SAFCO,"1/27/11",CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,"1/30/11",First Class,South Dakota,Bookcases,"0%",1,US$40 ,"28%",2,US$142 ,"",40,"2011-27-01",142,40,"2011-27-01"
Office Supplies,Rapid City,United States,Carol Adams,Wilson Jones,"1/27/11",CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,"1/30/11",First Class,South Dakota,Binders,"0%",1,US$5 ,"47%",2,US$11 ,"",5,"2011-27-01",11,5,"2011-27-01"
Furniture,Alexandria,United States,Shirley Daniels,Eldon,"1/27/11",US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,"2/1/11",Standard Class,Virginia,Furnishings,"0%",1,US$4 ,"36%",3,US$12 ,"",4,"2011-27-01",12,4,"2011-27-01"
Furniture,Alexandria,United States,Shirley Daniels,GE,"1/27/11",US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,"2/1/11",Standard Class,Virginia,Furnishings,"0%",1,US$31 ,"49%",3,US$63 ,"",31,"2011-27-01",63,31,"2011-27-01"
Office Supplies,Alexandria,United States,Shirley Daniels,Eureka,"1/27/11",US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,"2/1/11",Standard Class,Virginia,Paper,"0%",1,US$9 ,"48%",3,US$19 ,"",9,"2011-27-01",19,9,"2011-27-01"
Office Supplies,Alexandria,United States,Shirley Daniels,REDIFORM,"1/27/11",US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,"2/1/11",Standard Class,Virginia,Paper,"0%",1,US$8 ,"50%",2,US$17 ,"",8,"2011-27-01",17,8,"2011-27-01"
Office Supplies,Alexandria,United States,Shirley Daniels,SAFCO,"1/27/11",US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,"2/1/11",Standard Class,Virginia,Storage,"0%",1,US$0 ,"0%",8,US$490 ,"",0,"2011-27-01",490,0,"2011-27-01"
Technology,Alexandria,United States,Shirley Daniels,Jabra,"1/27/11",US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,"2/1/11",Standard Class,Virginia,Phones,"0%",1,US$53 ,"28%",2,US$188 ,"",53,"2011-27-01",188,53,"2011-27-01"
Technology,Alexandria,United States,Shirley Daniels,Other,"1/27/11",US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,"2/1/11",Standard Class,Virginia,Phones,"0%",1,US$0 ,"0%",13,US$155 ,"",0,"2011-27-01",155,0,"2011-27-01"
Furniture,San Diego,United States,Ed Jacobs,Balt,"1/28/11",US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,"2/3/11",Standard Class,California,Tables,"20%",1,(US$17),-5%,3,US$333 ,"",-17,"2011-28-01",333,-17,"2011-28-01"
Office Supplies,San Diego,United States,Ed Jacobs,Dixon,"1/28/11",US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,"2/3/11",Standard Class,California,Art,"0%",1,US$12 ,"33%",4,US$36 ,"",12,"2011-28-01",36,12,"2011-28-01"
Office Supplies,San Diego,United States,Ed Jacobs,Other,"1/28/11",US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,"2/3/11",Standard Class,California,Storage,"0%",1,US$14 ,"25%",1,US$57 ,"",14,"2011-28-01",57,14,"2011-28-01"
Office Supplies,New York City,United States,Jasper Cacioppo,Pressboard,"1/29/11",CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,"2/4/11",Standard Class,New York,Binders,"20%",1,US$1 ,"34%",1,US$4 ,"",1,"2011-29-01",4,1,"2011-29-01"
Office Supplies,Detroit,United States,Mike Vittorini,Xerox,"1/31/11",CA-2011-134103,48234,Xerox 1972,Central,Consumer,"2/5/11",Standard Class,Michigan,Paper,"0%",1,US$5 ,"45%",2,US$11 ,"",5,"2011-31-01",11,5,"2011-31-01"
Office Supplies,Detroit,United States,Mike Vittorini,Space Solutions,"1/31/11",CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,"2/5/11",Standard Class,Michigan,Storage,"0%",1,US$7 ,"3%",2,US$230 ,"",7,"2011-31-01",230,7,"2011-31-01"
Furniture,Mission Viejo,United States,Liz Carlisle,Sauder,"2/1/11",CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,"2/3/11",First Class,California,Bookcases,"15%",1,US$3 ,"1%",2,US$291 ,"",3,"2011-01-02",291,3,"2011-01-02"
Technology,Green Bay,United States,Bradley Drucker,Enermax,"2/2/11",CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,"2/4/11",First Class,Wisconsin,Accessories,"0%",1,US$206 ,"44%",6,US$469 ,"",206,"2011-02-02",469,206,"2011-02-02"
Office Supplies,San Diego,United States,Cynthia Delaney,Other,"2/3/11",CA-2011-139857,92037,Staples,West,Home Office,"2/7/11",Standard Class,California,Fasteners,"0%",1,US$6 ,"47%",5,US$12 ,"",6,"2011-03-02",12,6,"2011-03-02"
Office Supplies,Saint Petersburg,United States,Eric Barreto,Other,"2/3/11",CA-2011-123400,33710,Surelock Post Binders,South,Consumer,"2/10/11",Standard Class,Florida,Binders,"70%",1,(US$12),-67%,2,US$18 ,"",-12,"2011-03-02",18,-12,"2011-03-02"
Technology,Saint Petersburg,United States,Eric Barreto,AT&T,"2/3/11",CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,"2/10/11",Standard Class,Florida,Phones,"20%",1,US$14 ,"8%",5,US$181 ,"",14,"2011-03-02",181,14,"2011-03-02"
Office Supplies,Seattle,United States,Tom Boeckenhauer,Avery,"2/4/11",CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,"2/7/11",Second Class,Washington,Binders,"20%",1,US$4 ,"33%",3,US$13 ,"",4,"2011-04-02",13,4,"2011-04-02"
Office Supplies,Seattle,United States,Tom Boeckenhauer,Ibico,"2/4/11",CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,"2/7/11",Second Class,Washington,Binders,"20%",1,US$27 ,"33%",2,US$84 ,"",27,"2011-04-02",84,27,"2011-04-02"
Office Supplies,Escondido,United States,Mark Haberlin,GBC,"2/5/11",CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,"2/9/11",Second Class,California,Binders,"20%",1,US$6 ,"35%",2,US$17 ,"",6,"2011-05-02",17,6,"2011-05-02"
Office Supplies,San Diego,United States,Deborah Brumfield,GBC,"2/5/11",CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,"2/9/11",Standard Class,California,Binders,"20%",1,US$29 ,"35%",3,US$83 ,"",29,"2011-05-02",83,29,"2011-05-02"
Office Supplies,San Diego,United States,Deborah Brumfield,Message Book,"2/5/11",CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,"2/9/11",Standard Class,California,Paper,"0%",1,US$16 ,"47%",4,US$34 ,"",16,"2011-05-02",34,16,"2011-05-02"
Office Supplies,Chesapeake,United States,Neil Ducich,Avery,"2/7/11",CA-2011-131905,23320,Avery 480,South,Corporate,"2/10/11",First Class,Virginia,Labels,"0%",1,US$7 ,"48%",4,US$15 ,"",7,"2011-07-02",15,7,"2011-07-02"
Technology,Chesapeake,United States,Neil Ducich,Other,"2/7/11",CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,"2/10/11",First Class,Virginia,Phones,"0%",1,US$42 ,"26%",1,US$162 ,"",42,"2011-07-02",162,42,"2011-07-02"
Technology,Chesapeake,United States,Neil Ducich,AT&T,"2/7/11",CA-2011-131905,23320,AT&T CL82213,South,Corporate,"2/10/11",First Class,Virginia,Phones,"0%",1,US$42 ,"29%",5,US$145 ,"",42,"2011-07-02",145,42,"2011-07-02"
Office Supplies,Romeoville,United States,Delfina Latchford,Avery,"2/7/11",CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,"2/11/11",Second Class,Illinois,Binders,"80%",1,(US$15),-165%,2,US$9 ,"",-15,"2011-07-02",9,-15,"2011-07-02"
Office Supplies,New York City,United States,Chris Selesnick,Acco,"2/8/11",US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,"2/11/11",Second Class,New York,Storage,"0%",1,US$10 ,"15%",4,US$65 ,"",10,"2011-08-02",65,10,"2011-08-02"
